hour,hour_sin,hour_cos,day_of_week,day_sin,day_cos,month,month_sin,month_cos,is_weekend,road_type,city_zone,weather_condition,temperature_c,vehicle_count,average_speed_kmh,signal_cycle_time,road_capacity_utilization,incident_reported,school_zone,construction_zone,public_event_nearby,congestion_level
23,-0.25882,0.96593,4,-0.43388,-0.90097,2,0.86603,0.5,0,highway,airport,clear,8.44,788,107.42,98.3,0.1443,0,1,0,0,low
22,-0.5,0.86603,3,0.43388,-0.90097,9,-1.0,-0.0,0,local,suburban,clear,23.2,530,42.83,134.3,0.1772,0,0,0,0,moderate
14,-0.5,-0.86603,6,-0.78183,0.62349,5,0.5,-0.86603,1,highway,airport,rain,22.84,2406,91.9,87.6,0.6921,0,0,0,0,severe
3,0.70711,0.70711,5,-0.97493,-0.22252,5,0.5,-0.86603,1,local,suburban,rain,20.22,515,30.19,160.2,0.0969,0,1,0,0,low
22,-0.5,0.86603,0,0.0,1.0,5,0.5,-0.86603,0,highway,residential,clear,24.4,434,113.29,138.2,0.1391,0,0,0,0,low
21,-0.70711,0.70711,4,-0.43388,-0.90097,7,-0.5,-0.86603,0,expressway,CBD,clear,30.89,2675,112.39,134.7,0.845,0,0,0,0,severe
16,-0.86603,-0.5,5,-0.97493,-0.22252,8,-0.86603,-0.5,1,local,residential,clear,23.56,1249,31.23,156.7,1.0,0,0,0,0,severe
7,0.96593,-0.25882,3,0.43388,-0.90097,4,0.86603,-0.5,0,highway,residential,clear,17.3,4851,87.5,117.2,0.9671,0,0,0,0,high
20,-0.86603,0.5,5,-0.97493,-0.22252,1,0.5,0.86603,1,arterial,CBD,clear,6.42,1296,48.65,150.3,0.6976,0,0,0,0,high
21,-0.70711,0.70711,1,0.78183,0.62349,9,-1.0,-0.0,0,highway,CBD,storm,28.03,3337,108.59,111.3,0.8854,0,0,0,0,severe
22,-0.5,0.86603,5,-0.97493,-0.22252,8,-0.86603,-0.5,1,local,residential,clear,28.34,0,48.13,88.3,0.3158,0,0,0,0,moderate
12,0.0,-1.0,1,0.78183,0.62349,9,-1.0,-0.0,0,arterial,industrial,clear,25.52,1694,51.76,73.7,1.0,0,0,0,0,severe
11,0.25882,-0.96593,4,-0.43388,-0.90097,2,0.86603,0.5,0,arterial,residential,rain,7.18,1362,62.09,114.6,0.8638,1,0,0,1,severe
9,0.70711,-0.70711,3,0.43388,-0.90097,6,0.0,-1.0,0,expressway,CBD,clear,36.92,8738,104.94,122.3,0.9309,0,0,0,0,high
6,1.0,0.0,0,0.0,1.0,10,-0.86603,0.5,0,highway,suburban,clear,23.95,2943,97.83,115.2,0.9419,1,1,0,0,severe
7,0.96593,-0.25882,3,0.43388,-0.90097,4,0.86603,-0.5,0,arterial,CBD,fog,16.21,2340,35.45,147.3,0.8709,0,0,0,0,severe
11,0.25882,-0.96593,1,0.78183,0.62349,8,-0.86603,-0.5,0,local,suburban,storm,29.45,966,14.18,100.5,1.0,0,0,0,0,severe
2,0.5,0.86603,0,0.0,1.0,10,-0.86603,0.5,0,local,industrial,clear,20.39,0,40.68,141.5,0.224,1,1,1,0,low
15,-0.70711,-0.70711,4,-0.43388,-0.90097,2,0.86603,0.5,0,highway,CBD,rain,4.93,2551,84.61,103.4,0.5785,0,0,0,0,high
10,0.5,-0.86603,5,-0.97493,-0.22252,8,-0.86603,-0.5,1,highway,residential,rain,42.76,670,82.24,123.4,0.4134,1,0,0,0,high
1,0.25882,0.96593,1,0.78183,0.62349,1,0.5,0.86603,0,expressway,CBD,rain,12.4,1142,87.32,60.3,0.2614,0,0,0,0,low
10,0.5,-0.86603,4,-0.43388,-0.90097,2,0.86603,0.5,0,expressway,industrial,snow,11.07,4289,95.58,81.5,0.9332,0,1,0,0,severe
23,-0.25882,0.96593,2,0.97493,-0.22252,1,0.5,0.86603,0,highway,suburban,clear,6.81,515,117.57,154.3,0.1014,0,0,0,0,moderate
8,0.86603,-0.5,5,-0.97493,-0.22252,11,-0.5,0.86603,1,highway,residential,clear,15.16,4001,96.22,165.8,0.9667,0,0,1,0,high
12,0.0,-1.0,0,0.0,1.0,1,0.5,0.86603,0,expressway,suburban,rain,13.55,4839,80.51,137.4,1.0,0,0,0,0,high
14,-0.5,-0.86603,1,0.78183,0.62349,12,-0.0,1.0,0,highway,industrial,clear,9.71,2321,104.8,153.7,0.6872,0,0,0,0,high
11,0.25882,-0.96593,6,-0.78183,0.62349,3,1.0,0.0,1,arterial,CBD,storm,15.47,1674,57.97,95.6,0.9049,0,0,0,1,severe
5,0.96593,0.25882,5,-0.97493,-0.22252,8,-0.86603,-0.5,1,local,industrial,rain,31.01,0,41.46,62.7,0.0,0,1,0,0,low
5,0.96593,0.25882,6,-0.78183,0.62349,7,-0.5,-0.86603,1,expressway,airport,clear,34.88,504,122.21,137.5,0.1557,0,0,0,0,low
11,0.25882,-0.96593,0,0.0,1.0,7,-0.5,-0.86603,0,expressway,CBD,clear,32.34,3455,91.56,149.5,0.9676,1,0,0,0,severe
1,0.25882,0.96593,1,0.78183,0.62349,4,0.86603,-0.5,0,local,suburban,clear,22.57,359,40.58,122.1,0.1099,0,0,0,0,low
16,-0.86603,-0.5,6,-0.78183,0.62349,9,-1.0,-0.0,1,expressway,residential,rain,31.71,7611,82.38,94.6,0.994,0,0,0,0,severe
21,-0.70711,0.70711,3,0.43388,-0.90097,6,0.0,-1.0,0,arterial,suburban,clear,33.48,1930,56.05,93.6,0.9121,0,0,0,0,severe
6,1.0,0.0,3,0.43388,-0.90097,11,-0.5,0.86603,0,highway,CBD,storm,11.86,2525,43.94,142.9,0.7333,0,0,1,0,severe
22,-0.5,0.86603,5,-0.97493,-0.22252,1,0.5,0.86603,1,arterial,residential,rain,2.39,30,44.18,148.1,0.2002,0,1,0,0,low
15,-0.70711,-0.70711,3,0.43388,-0.90097,4,0.86603,-0.5,0,arterial,suburban,snow,17.35,90,18.03,70.2,0.7528,0,0,0,0,severe
10,0.5,-0.86603,1,0.78183,0.62349,4,0.86603,-0.5,0,arterial,industrial,snow,18.77,1124,32.71,51.5,0.5211,0,0,0,0,high
18,-1.0,-0.0,2,0.97493,-0.22252,8,-0.86603,-0.5,0,arterial,industrial,snow,25.27,4718,28.93,82.9,1.0,0,1,0,0,severe
9,0.70711,-0.70711,3,0.43388,-0.90097,11,-0.5,0.86603,0,expressway,industrial,fog,9.6,8316,95.85,67.4,1.0,0,1,1,0,severe
11,0.25882,-0.96593,6,-0.78183,0.62349,11,-0.5,0.86603,1,arterial,CBD,rain,9.36,912,39.11,105.9,0.5372,0,0,0,0,severe
16,-0.86603,-0.5,4,-0.43388,-0.90097,8,-0.86603,-0.5,0,highway,residential,clear,33.79,6428,88.61,109.1,0.9597,0,0,0,0,severe
23,-0.25882,0.96593,4,-0.43388,-0.90097,9,-1.0,-0.0,0,expressway,suburban,clear,31.22,609,119.31,56.2,0.1999,0,0,0,0,low
9,0.70711,-0.70711,0,0.0,1.0,6,0.0,-1.0,0,local,CBD,snow,26.96,1198,27.07,113.3,0.9457,0,0,0,0,severe
4,0.86603,0.5,5,-0.97493,-0.22252,11,-0.5,0.86603,1,local,CBD,fog,7.86,497,39.85,96.1,0.0866,0,0,0,0,moderate
15,-0.70711,-0.70711,5,-0.97493,-0.22252,5,0.5,-0.86603,1,expressway,residential,clear,15.15,2383,108.14,153.7,0.6301,0,0,0,0,severe
19,-0.96593,0.25882,0,0.0,1.0,8,-0.86603,-0.5,0,arterial,CBD,clear,39.03,3547,50.23,125.9,0.9983,0,0,0,0,severe
21,-0.70711,0.70711,5,-0.97493,-0.22252,10,-0.86603,0.5,1,local,industrial,fog,17.21,381,34.69,157.9,0.492,0,1,0,0,high
9,0.70711,-0.70711,1,0.78183,0.62349,5,0.5,-0.86603,0,arterial,suburban,clear,21.1,6662,94.54,149.3,1.0,0,0,0,0,severe
4,0.86603,0.5,2,0.97493,-0.22252,5,0.5,-0.86603,0,highway,industrial,clear,17.77,997,116.84,60.9,0.1142,0,0,0,0,low
21,-0.70711,0.70711,2,0.97493,-0.22252,9,-1.0,-0.0,0,local,industrial,fog,20.27,213,37.04,93.3,0.6138,0,1,1,0,severe
5,0.96593,0.25882,2,0.97493,-0.22252,7,-0.5,-0.86603,0,arterial,residential,rain,33.51,1342,95.53,73.5,0.2872,0,0,0,0,low
10,0.5,-0.86603,5,-0.97493,-0.22252,7,-0.5,-0.86603,1,highway,suburban,rain,23.08,3834,83.54,165.4,0.7144,0,0,0,0,severe
8,0.86603,-0.5,6,-0.78183,0.62349,11,-0.5,0.86603,1,arterial,CBD,rain,14.16,1156,26.27,97.5,0.8945,0,0,0,0,severe
18,-1.0,-0.0,4,-0.43388,-0.90097,6,0.0,-1.0,0,expressway,CBD,fog,22.65,8044,108.47,99.6,0.9594,1,0,0,0,severe
4,0.86603,0.5,6,-0.78183,0.62349,10,-0.86603,0.5,1,highway,suburban,fog,16.51,1055,92.44,58.4,0.0661,0,0,0,0,low
13,-0.25882,-0.96593,6,-0.78183,0.62349,1,0.5,0.86603,1,arterial,airport,clear,2.73,1501,55.37,123.6,1.0,0,0,1,0,severe
20,-0.86603,0.5,1,0.78183,0.62349,11,-0.5,0.86603,0,local,CBD,clear,7.23,183,40.64,143.8,1.0,0,1,0,1,severe
7,0.96593,-0.25882,3,0.43388,-0.90097,5,0.5,-0.86603,0,highway,residential,clear,25.14,5690,99.81,123.9,1.0,0,0,0,0,severe
9,0.70711,-0.70711,1,0.78183,0.62349,9,-1.0,-0.0,0,arterial,CBD,snow,21.8,5471,99.67,72.8,1.0,0,0,0,0,severe
7,0.96593,-0.25882,4,-0.43388,-0.90097,4,0.86603,-0.5,0,arterial,industrial,clear,27.14,1224,28.21,116.3,0.9236,0,0,0,0,severe
11,0.25882,-0.96593,2,0.97493,-0.22252,9,-1.0,-0.0,0,expressway,CBD,rain,25.84,2184,86.4,84.3,0.5696,0,0,0,0,severe
4,0.86603,0.5,5,-0.97493,-0.22252,8,-0.86603,-0.5,1,expressway,suburban,clear,32.43,24,118.73,108.6,0.2713,0,0,0,0,low
0,0.0,1.0,4,-0.43388,-0.90097,12,-0.0,1.0,0,local,airport,rain,13.25,0,23.37,118.9,0.2363,1,0,1,0,low
15,-0.70711,-0.70711,1,0.78183,0.62349,6,0.0,-1.0,0,highway,industrial,fog,25.57,3888,85.68,144.1,0.9781,0,0,0,0,severe
5,0.96593,0.25882,6,-0.78183,0.62349,3,1.0,0.0,1,local,industrial,clear,9.98,0,52.21,70.0,0.0498,0,0,0,0,low
0,0.0,1.0,1,0.78183,0.62349,4,0.86603,-0.5,0,local,CBD,clear,17.33,401,45.03,63.6,0.0844,0,0,0,0,moderate
3,0.70711,0.70711,0,0.0,1.0,1,0.5,0.86603,0,highway,CBD,rain,4.96,561,99.09,150.1,0.0653,1,0,0,0,low
0,0.0,1.0,3,0.43388,-0.90097,4,0.86603,-0.5,0,arterial,industrial,storm,16.17,1086,13.77,88.3,0.3864,0,1,0,0,moderate
5,0.96593,0.25882,0,0.0,1.0,5,0.5,-0.86603,0,local,industrial,snow,27.23,0,37.47,61.6,0.2772,1,0,1,0,moderate
9,0.70711,-0.70711,5,-0.97493,-0.22252,4,0.86603,-0.5,1,local,residential,clear,18.25,1302,36.88,138.8,0.954,0,0,0,0,severe
23,-0.25882,0.96593,4,-0.43388,-0.90097,8,-0.86603,-0.5,0,highway,CBD,rain,30.69,729,87.35,67.9,0.2725,1,0,0,0,low
11,0.25882,-0.96593,2,0.97493,-0.22252,1,0.5,0.86603,0,arterial,residential,clear,8.42,2459,62.53,141.7,0.9121,0,1,0,1,severe
21,-0.70711,0.70711,0,0.0,1.0,8,-0.86603,-0.5,0,arterial,residential,rain,31.23,1836,47.18,57.5,0.7382,0,0,0,0,severe
14,-0.5,-0.86603,6,-0.78183,0.62349,8,-0.86603,-0.5,1,highway,residential,storm,29.33,2001,110.75,113.7,0.4977,0,0,0,0,high
6,1.0,0.0,2,0.97493,-0.22252,6,0.0,-1.0,0,expressway,CBD,clear,27.4,4344,108.29,66.5,0.991,0,0,0,0,severe
6,1.0,0.0,0,0.0,1.0,8,-0.86603,-0.5,0,highway,CBD,rain,28.21,3364,75.7,126.9,0.9612,0,0,0,0,severe
13,-0.25882,-0.96593,4,-0.43388,-0.90097,8,-0.86603,-0.5,0,highway,residential,clear,32.75,4604,100.24,97.7,1.0,0,0,0,0,severe
14,-0.5,-0.86603,6,-0.78183,0.62349,11,-0.5,0.86603,1,highway,CBD,clear,7.53,2657,117.02,145.3,0.5623,0,0,0,0,high
10,0.5,-0.86603,2,0.97493,-0.22252,9,-1.0,-0.0,0,expressway,industrial,snow,27.26,3355,78.2,122.7,0.8395,0,0,0,0,severe
2,0.5,0.86603,2,0.97493,-0.22252,7,-0.5,-0.86603,0,highway,CBD,clear,32.18,1193,115.08,121.5,0.3816,1,0,0,0,moderate
10,0.5,-0.86603,6,-0.78183,0.62349,9,-1.0,-0.0,1,expressway,CBD,clear,24.25,1958,110.04,140.7,0.5543,0,0,0,0,high
18,-1.0,-0.0,0,0.0,1.0,9,-1.0,-0.0,0,highway,residential,fog,22.93,8091,74.74,34.2,1.0,0,0,0,0,severe
2,0.5,0.86603,5,-0.97493,-0.22252,9,-1.0,-0.0,1,local,suburban,fog,29.83,542,77.1,145.5,0.2491,0,0,1,1,low
22,-0.5,0.86603,3,0.43388,-0.90097,8,-0.86603,-0.5,0,arterial,residential,snow,38.3,54,38.62,122.3,0.4268,0,0,0,1,low
23,-0.25882,0.96593,4,-0.43388,-0.90097,3,1.0,0.0,0,local,CBD,rain,11.73,482,30.32,83.0,0.0917,0,0,0,0,low
3,0.70711,0.70711,6,-0.78183,0.62349,3,1.0,0.0,1,local,industrial,clear,20.9,596,115.5,60.4,0.0889,0,0,0,0,low
16,-0.86603,-0.5,1,0.78183,0.62349,2,0.86603,0.5,0,expressway,industrial,clear,12.62,8922,102.56,75.9,0.964,0,1,0,0,severe
2,0.5,0.86603,3,0.43388,-0.90097,8,-0.86603,-0.5,0,local,CBD,clear,25.99,335,51.02,91.0,0.3107,0,0,0,0,low
13,-0.25882,-0.96593,0,0.0,1.0,7,-0.5,-0.86603,0,expressway,CBD,fog,28.66,5417,77.13,116.6,1.0,0,0,0,0,severe
22,-0.5,0.86603,2,0.97493,-0.22252,6,0.0,-1.0,0,expressway,CBD,clear,40.18,1399,130.75,56.7,0.3776,0,0,0,0,low
23,-0.25882,0.96593,6,-0.78183,0.62349,7,-0.5,-0.86603,1,local,industrial,clear,31.19,1221,42.13,97.7,0.0135,0,0,0,0,low
12,0.0,-1.0,1,0.78183,0.62349,2,0.86603,0.5,0,expressway,airport,clear,6.14,6709,108.42,157.7,0.9884,0,0,0,0,severe
15,-0.70711,-0.70711,6,-0.78183,0.62349,11,-0.5,0.86603,1,expressway,airport,fog,14.83,2338,88.58,107.3,0.625,0,0,0,0,severe
1,0.25882,0.96593,6,-0.78183,0.62349,5,0.5,-0.86603,1,highway,CBD,fog,25.46,326,78.7,88.5,0.1976,0,0,0,0,moderate
22,-0.5,0.86603,5,-0.97493,-0.22252,9,-1.0,-0.0,1,local,airport,clear,27.54,467,30.99,94.7,0.118,0,0,0,0,low
11,0.25882,-0.96593,2,0.97493,-0.22252,2,0.86603,0.5,0,local,airport,fog,11.77,348,24.29,154.6,0.5723,0,0,0,0,severe
11,0.25882,-0.96593,6,-0.78183,0.62349,7,-0.5,-0.86603,1,arterial,residential,clear,29.14,2105,104.72,150.5,0.5685,0,1,0,0,high
19,-0.96593,0.25882,3,0.43388,-0.90097,6,0.0,-1.0,0,local,CBD,clear,29.92,1324,34.73,153.0,0.8677,0,0,0,1,severe
10,0.5,-0.86603,0,0.0,1.0,1,0.5,0.86603,0,arterial,industrial,clear,5.96,1475,53.42,71.3,0.9577,0,1,0,0,severe
17,-0.96593,-0.25882,6,-0.78183,0.62349,12,-0.0,1.0,1,local,CBD,clear,9.02,741,36.97,156.5,0.9454,0,0,0,0,high
10,0.5,-0.86603,2,0.97493,-0.22252,3,1.0,0.0,0,expressway,airport,clear,16.06,3305,98.67,86.7,0.8003,0,1,0,0,severe
23,-0.25882,0.96593,4,-0.43388,-0.90097,3,1.0,0.0,0,arterial,CBD,clear,10.98,806,62.1,163.2,0.3129,0,0,0,0,low
20,-0.86603,0.5,2,0.97493,-0.22252,9,-1.0,-0.0,0,arterial,CBD,fog,27.58,2382,43.03,72.9,0.9692,1,0,0,0,severe
21,-0.70711,0.70711,2,0.97493,-0.22252,3,1.0,0.0,0,expressway,residential,fog,17.75,542,11.51,134.1,0.828,0,0,0,0,severe
6,1.0,0.0,1,0.78183,0.62349,3,1.0,0.0,0,local,CBD,fog,21.64,1101,30.09,120.6,0.9409,0,0,0,0,severe
1,0.25882,0.96593,2,0.97493,-0.22252,9,-1.0,-0.0,0,expressway,industrial,storm,29.91,1258,123.71,147.6,0.3553,1,0,0,0,low
9,0.70711,-0.70711,0,0.0,1.0,9,-1.0,-0.0,0,local,residential,clear,24.59,848,25.34,140.0,0.927,0,0,0,0,severe
23,-0.25882,0.96593,2,0.97493,-0.22252,4,0.86603,-0.5,0,expressway,CBD,snow,12.72,1064,77.69,69.1,0.1372,0,0,0,0,high
10,0.5,-0.86603,3,0.43388,-0.90097,4,0.86603,-0.5,0,expressway,residential,fog,17.44,3644,82.37,149.0,0.7425,0,0,0,0,high
12,0.0,-1.0,4,-0.43388,-0.90097,2,0.86603,0.5,0,arterial,CBD,fog,14.54,1974,37.86,153.8,1.0,0,0,0,0,severe
11,0.25882,-0.96593,1,0.78183,0.62349,5,0.5,-0.86603,0,local,residential,clear,25.57,344,33.99,69.7,0.7868,0,1,0,0,high
9,0.70711,-0.70711,6,-0.78183,0.62349,2,0.86603,0.5,1,arterial,residential,clear,7.21,1548,46.47,138.2,1.0,0,0,0,0,high
15,-0.70711,-0.70711,4,-0.43388,-0.90097,11,-0.5,0.86603,0,arterial,CBD,snow,10.94,1444,29.44,123.1,0.7473,0,0,0,0,severe
8,0.86603,-0.5,4,-0.43388,-0.90097,4,0.86603,-0.5,0,highway,residential,clear,24.98,5303,87.75,98.5,1.0,0,0,0,0,severe
